,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Orug|SGF83412,468.952218579255,-2.77968922300848,0.36324606783743,-7.652358742813782,1.97325818730012e-14,1.51570268478302e-12
Orug|SGF79097,263.62508899336,-1.62803071009209,0.212825686939374,-7.64959687669585,2.0161034076282603e-14,1.54079175576924e-12
Orug|SGF62027,44.1666050992431,-3.4169789352246296,0.446954847993301,-7.645020409927058,2.0891218920522202e-14,1.58857248595649e-12
Orug|SGF82888,174.251026198888,-2.0704852408206103,0.270900921291908,-7.64296123817744,2.12281913678463e-14,1.60612495889125e-12
Orug|SGF63981,1891.0449210327201,-2.5116729864944305,0.330114166521301,-7.608498032550679,2.7729947656736e-14,2.08760979075487e-12
Orug|SGF72730,285.079236758974,-3.12811987554345,0.411991072451904,-7.59268849426009,3.1333518882161796e-14,2.3472218204201603e-12
Orug|SGF79851,55.4713488339104,-3.36642425409706,0.44388299483427296,-7.5840351923234595,3.3497023765303394e-14,2.4969308552540497e-12
Orug|SGF70754,181.13351186855098,-3.1395004554417003,0.414020302207916,-7.58296257139845,3.3775230704308606e-14,2.5053274069490097e-12
Orug|SGF65856,880.6008100087262,-2.63100409789691,0.348401866534572,-7.55163605771277,4.29824194913592e-14,3.1727315694792597e-12
Orug|SGF60939,758.396780821493,-3.39226075224094,0.449455402808765,-7.547491321812591,4.4372209916288e-14,3.25941883715179e-12
Orug|SGF70622,127.90193257064301,-3.68767357053667,0.4896384096666671,-7.53142216323908,5.01906275405823e-14,3.66900761325648e-12
Orug|SGF60899,402.679940412232,-3.33994520639279,0.4437414408917029,-7.52678226239393,5.200598545590272e-14,3.78343544191692e-12
